"id","ALUMNOS","ESPAÑOL","MATEMATICAS","INGLES","CIENCIAS_NATURALES","HISTORIA","EDUCACION_FISICA","ARTES","TECNOLOGIA","NUM_FALTAS","PARTICIPACIONES","RENDIMIENTO"
207,"CLARA GONZÁLEZ PÉREZ",70.0,68.0,69.0,73.0,71.0,76.0,74.0,70.0,11,3,"Regular"
208,"DAVID RAMÍREZ HERNÁNDEZ",87.0,89.0,86.0,88.0,91.0,93.0,85.0,88.0,5,4,"Bueno"
209,"VICTORIA HERNÁNDEZ FLORES",62.0,67.0,65.0,64.0,63.0,68.0,64.0,63.0,18,2,"Regular"
210,"RAUL MARTÍNEZ PÉREZ",90.0,87.0,89.0,91.0,92.0,95.0,89.0,90.0,4,5,"Excelente"
211,"LILIANA GUTIÉRREZ RAMÍREZ",54.0,59.0,58.0,57.0,56.0,63.0,61.0,59.0,23,3,"Malo"
212,"ARMANDO PÉREZ HERNÁNDEZ",77.0,80.0,78.0,82.0,81.0,84.0,79.0,80.0,8,4,"Bueno"
213,"ROCÍO GÓMEZ FLORES",66.0,72.0,70.0,68.0,69.0,73.0,71.0,70.0,12,3,"Regular"
214,"LUIS HERNÁNDEZ GARCÍA",96.0,94.0,95.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
215,"ALEJANDRO MARTÍNEZ PÉREZ",51.0,55.0,54.0,52.0,53.0,60.0,57.0,55.0,27,1,"Malo"
216,"MARÍA GUTIÉRREZ RAMÍREZ",83.0,79.0,85.0,80.0,82.0,86.0,83.0,82.0,7,4,"Bueno"
217,"SANTIAGO GONZÁLEZ MARTÍNEZ",70.0,68.0,69.0,72.0,71.0,75.0,74.0,71.0,12,3,"Regular"
218,"GABRIEL MARTÍNEZ HERNÁNDEZ",85.0,88.0,87.0,89.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
219,"CARLA HERNÁNDEZ FLORES",60.0,66.0,63.0,62.0,61.0,67.0,64.0,63.0,19,2,"Regular"
220,"OSCAR PÉREZ RAMÍREZ",91.0,89.0,88.0,92.0,94.0,95.0,89.0,90.0,4,5,"Excelente"
221,"LORENA GÓMEZ GUTIÉRREZ",54.0,59.0,58.0,57.0,60.0,64.0,61.0,60.0,22,3,"Malo"
222,"RUBÉN RAMÍREZ MARTÍNEZ",78.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
223,"VERÓNICA GONZÁLEZ PÉREZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
224,"FELIPE MARTÍNEZ HERNÁNDEZ",95.0,93.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
225,"CRISTINA HERNÁNDEZ RAMÍREZ",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,26,1,"Malo"
226,"ALDO GUTIÉRREZ PÉREZ",83.0,80.0,84.0,81.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
227,"MARIELA GÓMEZ HERNÁNDEZ",68.0,69.0,71.0,70.0,71.0,76.0,74.0,71.0,12,3,"Regular"
228,"ARTURO RAMÍREZ MARTÍNEZ",88.0,87.0,89.0,90.0,91.0,92.0,85.0,88.0,5,4,"Bueno"
229,"EVELYN HERNÁNDEZ FLORES",60.0,66.0,65.0,63.0,62.0,67.0,65.0,64.0,18,2,"Regular"
230,"MANUEL PÉREZ RAMÍREZ",90.0,88.0,89.0,91.0,93.0,94.0,88.0,90.0,4,5,"Excelente"
231,"DANIELA GUTIÉRREZ GARCÍA",54.0,58.0,59.0,57.0,60.0,64.0,60.0,59.0,22,3,"Malo"
232,"EMILIO RAMÍREZ MARTÍNEZ",77.0,79.0,78.0,82.0,81.0,84.0,79.0,80.0,8,4,"Bueno"
233,"IRENE GONZÁLEZ HERNÁNDEZ",68.0,72.0,71.0,69.0,70.0,75.0,73.0,70.0,12,3,"Regular"
234,"LEONARDO MARTÍNEZ RAMÍREZ",96.0,94.0,95.0,93.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
235,"ANDREA HERNÁNDEZ FLORES",51.0,55.0,54.0,52.0,53.0,60.0,58.0,55.0,27,1,"Malo"
236,"MARIO GUTIÉRREZ PÉREZ",82.0,79.0,84.0,80.0,82.0,85.0,84.0,81.0,7,4,"Bueno"
237,"LUCÍA GONZÁLEZ MARTÍNEZ",70.0,69.0,71.0,72.0,71.0,76.0,74.0,70.0,11,3,"Regular"
238,"ISRAEL RAMÍREZ HERNÁNDEZ",85.0,87.0,86.0,89.0,87.0,91.0,86.0,87.0,6,4,"Bueno"
239,"VIOLETA HERNÁNDEZ FLORES",62.0,66.0,64.0,63.0,61.0,65.0,64.0,63.0,18,2,"Regular"
240,"RICARDO PÉREZ MARTÍNEZ",90.0,88.0,89.0,91.0,92.0,95.0,89.0,90.0,4,5,"Excelente"
241,"KARINA GUTIÉRREZ HERNÁNDEZ",56.0,59.0,58.0,57.0,60.0,63.0,62.0,60.0,22,3,"Malo"
242,"CRISTÓBAL RAMÍREZ PÉREZ",79.0,81.0,78.0,82.0,81.0,85.0,80.0,81.0,7,4,"Bueno"
243,"IVÁN GONZÁLEZ RAMÍREZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
244,"REBECA MARTÍNEZ HERNÁNDEZ",95.0,94.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
245,"SALVADOR HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
246,"MARGARITA GUTIÉRREZ PÉREZ",83.0,79.0,85.0,80.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
247,"ELÍAS GONZÁLEZ MARTÍNEZ",68.0,70.0,71.0,72.0,70.0,76.0,74.0,71.0,12,3,"Regular"
248,"EDGAR RAMÍREZ HERNÁNDEZ",85.0,88.0,87.0,90.0,89.0,91.0,86.0,88.0,6,4,"Bueno"
249,"FERNANDA HERNÁNDEZ FLORES",60.0,65.0,64.0,63.0,62.0,67.0,64.0,63.0,18,2,"Regular"
250,"OMAR PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
251,"LUZ GUTIÉRREZ GARCÍA",54.0,59.0,58.0,57.0,56.0,63.0,61.0,60.0,23,3,"Malo"
252,"HUGO RAMÍREZ MARTÍNEZ",77.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
253,"MONTSERRAT GONZÁLEZ PÉREZ",66.0,72.0,70.0,69.0,68.0,75.0,72.0,71.0,12,3,"Regular"
254,"JORGE MARTÍNEZ HERNÁNDEZ",96.0,93.0,95.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
255,"TANIA HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
256,"DAVID GUTIÉRREZ PÉREZ",82.0,79.0,84.0,81.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
257,"ALICIA GONZÁLEZ MARTÍNEZ",70.0,68.0,71.0,72.0,71.0,76.0,74.0,70.0,11,3,"Regular"
258,"ISIDRO RAMÍREZ HERNÁNDEZ",85.0,87.0,86.0,89.0,87.0,91.0,86.0,87.0,6,4,"Bueno"
259,"CLAUDIA HERNÁNDEZ FLORES",62.0,66.0,65.0,64.0,63.0,68.0,64.0,63.0,18,2,"Regular"
260,"RAFAEL PÉREZ MARTÍNEZ",90.0,89.0,88.0,91.0,93.0,95.0,89.0,90.0,4,5,"Excelente"
261,"LOURDES GUTIÉRREZ HERNÁNDEZ",54.0,58.0,59.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
262,"FRANCISCO RAMÍREZ PÉREZ",78.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
263,"XIMENA GONZÁLEZ MARTÍNEZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
264,"LUIS MARTÍNEZ HERNÁNDEZ",95.0,93.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
265,"ALMA HERNÁNDEZ FLORES",51.0,55.0,54.0,52.0,53.0,60.0,57.0,55.0,26,1,"Malo"
266,"FERNANDO GUTIÉRREZ PÉREZ",82.0,79.0,83.0,80.0,82.0,85.0,84.0,81.0,7,4,"Bueno"
267,"LUCÍA GONZÁLEZ MARTÍNEZ",70.0,68.0,69.0,72.0,71.0,75.0,74.0,71.0,12,3,"Regular"
268,"ISABEL RAMÍREZ HERNÁNDEZ",85.0,88.0,86.0,89.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
269,"VICTORIA HERNÁNDEZ FLORES",60.0,66.0,63.0,62.0,61.0,67.0,64.0,63.0,19,2,"Regular"
270,"RICARDO PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,94.0,95.0,89.0,90.0,4,5,"Excelente"
271,"KARINA GUTIÉRREZ HERNÁNDEZ",54.0,59.0,58.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
272,"CRISTÓBAL RAMÍREZ PÉREZ",79.0,81.0,78.0,82.0,81.0,85.0,80.0,81.0,7,4,"Bueno"
273,"IVÁN GONZÁLEZ RAMÍREZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
274,"REBECA MARTÍNEZ HERNÁNDEZ",95.0,94.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
275,"SALVADOR HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
276,"MARGARITA GUTIÉRREZ PÉREZ",83.0,79.0,85.0,80.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
277,"ELÍAS GONZÁLEZ MARTÍNEZ",68.0,70.0,71.0,72.0,70.0,76.0,74.0,71.0,12,3,"Regular"
278,"EDGAR RAMÍREZ HERNÁNDEZ",85.0,88.0,87.0,90.0,89.0,91.0,86.0,88.0,6,4,"Bueno"
279,"FERNANDA HERNÁNDEZ FLORES",60.0,65.0,64.0,63.0,62.0,67.0,64.0,63.0,18,2,"Regular"
280,"OMAR PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
281,"LUZ GUTIÉRREZ GARCÍA",54.0,59.0,58.0,57.0,56.0,63.0,61.0,60.0,23,3,"Malo"
282,"HUGO RAMÍREZ MARTÍNEZ",77.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
283,"MONTSERRAT GONZÁLEZ PÉREZ",66.0,72.0,70.0,69.0,68.0,75.0,72.0,71.0,12,3,"Regular"
284,"JORGE MARTÍNEZ HERNÁNDEZ",96.0,93.0,95.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
285,"TANIA HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
286,"DAVID GUTIÉRREZ PÉREZ",82.0,79.0,84.0,81.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
287,"ALICIA GONZÁLEZ MARTÍNEZ",70.0,68.0,71.0,72.0,71.0,76.0,74.0,70.0,11,3,"Regular"
288,"ISIDRO RAMÍREZ HERNÁNDEZ",85.0,87.0,86.0,89.0,87.0,91.0,86.0,87.0,6,4,"Bueno"
289,"CLAUDIA HERNÁNDEZ FLORES",62.0,66.0,65.0,64.0,63.0,68.0,64.0,63.0,18,2,"Regular"
290,"RAFAEL PÉREZ MARTÍNEZ",90.0,89.0,88.0,91.0,93.0,95.0,89.0,90.0,4,5,"Excelente"
291,"LOURDES GUTIÉRREZ HERNÁNDEZ",54.0,58.0,59.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
292,"FRANCISCO RAMÍREZ PÉREZ",78.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
293,"XIMENA GONZÁLEZ MARTÍNEZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
294,"LUIS MARTÍNEZ HERNÁNDEZ",95.0,93.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
295,"ALMA HERNÁNDEZ FLORES",51.0,55.0,54.0,52.0,53.0,60.0,57.0,55.0,26,1,"Malo"
296,"FERNANDO GUTIÉRREZ PÉREZ",82.0,79.0,83.0,80.0,82.0,85.0,84.0,81.0,7,4,"Bueno"
297,"LUCÍA GONZÁLEZ MARTÍNEZ",70.0,68.0,69.0,72.0,71.0,75.0,74.0,71.0,12,3,"Regular"
298,"ISABEL RAMÍREZ HERNÁNDEZ",85.0,88.0,86.0,89.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
299,"VICTORIA HERNÁNDEZ FLORES",60.0,66.0,63.0,62.0,61.0,67.0,64.0,63.0,19,2,"Regular"
300,"RICARDO PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,94.0,95.0,89.0,90.0,4,5,"Excelente"
301,"KARINA GUTIÉRREZ HERNÁNDEZ",54.0,59.0,58.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
302,"CRISTÓBAL RAMÍREZ PÉREZ",79.0,81.0,78.0,82.0,81.0,85.0,80.0,81.0,7,4,"Bueno"
303,"IVÁN GONZÁLEZ RAMÍREZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
304,"REBECA MARTÍNEZ HERNÁNDEZ",95.0,94.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
305,"SALVADOR HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
306,"MARGARITA GUTIÉRREZ PÉREZ",83.0,79.0,85.0,80.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
307,"ELÍAS GONZÁLEZ MARTÍNEZ",68.0,70.0,71.0,72.0,70.0,76.0,74.0,71.0,12,3,"Regular"
308,"EDGAR RAMÍREZ HERNÁNDEZ",85.0,88.0,87.0,90.0,89.0,91.0,86.0,88.0,6,4,"Bueno"
309,"FERNANDA HERNÁNDEZ FLORES",60.0,65.0,64.0,63.0,62.0,67.0,64.0,63.0,18,2,"Regular"
310,"OMAR PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
311,"LUZ GUTIÉRREZ GARCÍA",54.0,59.0,58.0,57.0,56.0,63.0,61.0,60.0,23,3,"Malo"
312,"HUGO RAMÍREZ MARTÍNEZ",77.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
313,"MONTSERRAT GONZÁLEZ PÉREZ",66.0,72.0,70.0,69.0,68.0,75.0,72.0,71.0,12,3,"Regular"
314,"JORGE MARTÍNEZ HERNÁNDEZ",96.0,93.0,95.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
315,"TANIA HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
316,"DAVID GUTIÉRREZ PÉREZ",82.0,79.0,84.0,81.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
317,"ALICIA GONZÁLEZ MARTÍNEZ",70.0,68.0,71.0,72.0,71.0,76.0,74.0,70.0,11,3,"Regular"
318,"ISIDRO RAMÍREZ HERNÁNDEZ",85.0,87.0,86.0,89.0,87.0,91.0,86.0,87.0,6,4,"Bueno"
319,"CLAUDIA HERNÁNDEZ FLORES",62.0,66.0,65.0,64.0,63.0,68.0,64.0,63.0,18,2,"Regular"
320,"RAFAEL PÉREZ MARTÍNEZ",90.0,89.0,88.0,91.0,93.0,95.0,89.0,90.0,4,5,"Excelente"
321,"LOURDES GUTIÉRREZ HERNÁNDEZ",54.0,58.0,59.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
322,"FRANCISCO RAMÍREZ PÉREZ",78.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
323,"XIMENA GONZÁLEZ MARTÍNEZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
324,"LUIS MARTÍNEZ HERNÁNDEZ",95.0,93.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
325,"ALMA HERNÁNDEZ FLORES",51.0,55.0,54.0,52.0,53.0,60.0,57.0,55.0,26,1,"Malo"
326,"FERNANDO GUTIÉRREZ PÉREZ",82.0,79.0,83.0,80.0,82.0,85.0,84.0,81.0,7,4,"Bueno"
327,"LUCÍA GONZÁLEZ MARTÍNEZ",70.0,68.0,69.0,72.0,71.0,75.0,74.0,71.0,12,3,"Regular"
328,"ISABEL RAMÍREZ HERNÁNDEZ",85.0,88.0,86.0,89.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
329,"VICTORIA HERNÁNDEZ FLORES",60.0,66.0,63.0,62.0,61.0,67.0,64.0,63.0,19,2,"Regular"
330,"RICARDO PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,94.0,95.0,89.0,90.0,4,5,"Excelente"
331,"KARINA GUTIÉRREZ HERNÁNDEZ",54.0,59.0,58.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
332,"CRISTÓBAL RAMÍREZ PÉREZ",79.0,81.0,78.0,82.0,81.0,85.0,80.0,81.0,7,4,"Bueno"
333,"IVÁN GONZÁLEZ RAMÍREZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
334,"REBECA MARTÍNEZ HERNÁNDEZ",95.0,94.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
335,"SALVADOR HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
336,"MARGARITA GUTIÉRREZ PÉREZ",83.0,79.0,85.0,80.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
337,"ELÍAS GONZÁLEZ MARTÍNEZ",68.0,70.0,71.0,72.0,70.0,76.0,74.0,71.0,12,3,"Regular"
338,"EDGAR RAMÍREZ HERNÁNDEZ",85.0,88.0,87.0,90.0,89.0,91.0,86.0,88.0,6,4,"Bueno"
339,"FERNANDA HERNÁNDEZ FLORES",60.0,65.0,64.0,63.0,62.0,67.0,64.0,63.0,18,2,"Regular"
340,"OMAR PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
341,"LUZ GUTIÉRREZ GARCÍA",54.0,59.0,58.0,57.0,56.0,63.0,61.0,60.0,23,3,"Malo"
342,"HUGO RAMÍREZ MARTÍNEZ",77.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
343,"MONTSERRAT GONZÁLEZ PÉREZ",66.0,72.0,70.0,69.0,68.0,75.0,72.0,71.0,12,3,"Regular"
344,"JORGE MARTÍNEZ HERNÁNDEZ",96.0,93.0,95.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
345,"TANIA HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
346,"DAVID GUTIÉRREZ PÉREZ",82.0,79.0,84.0,81.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
347,"ALICIA GONZÁLEZ MARTÍNEZ",70.0,68.0,71.0,72.0,71.0,76.0,74.0,70.0,11,3,"Regular"
348,"ISIDRO RAMÍREZ HERNÁNDEZ",85.0,87.0,86.0,89.0,87.0,91.0,86.0,87.0,6,4,"Bueno"
349,"CLAUDIA HERNÁNDEZ FLORES",62.0,66.0,65.0,64.0,63.0,68.0,64.0,63.0,18,2,"Regular"
350,"RAFAEL PÉREZ MARTÍNEZ",90.0,89.0,88.0,91.0,93.0,95.0,89.0,90.0,4,5,"Excelente"
351,"LOURDES GUTIÉRREZ HERNÁNDEZ",54.0,58.0,59.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
352,"FRANCISCO RAMÍREZ PÉREZ",78.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
353,"XIMENA GONZÁLEZ MARTÍNEZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
354,"LUIS MARTÍNEZ HERNÁNDEZ",95.0,93.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
355,"ALMA HERNÁNDEZ FLORES",51.0,55.0,54.0,52.0,53.0,60.0,57.0,55.0,26,1,"Malo"
356,"FERNANDO GUTIÉRREZ PÉREZ",82.0,79.0,83.0,80.0,82.0,85.0,84.0,81.0,7,4,"Bueno"
357,"LUCÍA GONZÁLEZ MARTÍNEZ",70.0,68.0,69.0,72.0,71.0,75.0,74.0,71.0,12,3,"Regular"
358,"ISABEL RAMÍREZ HERNÁNDEZ",85.0,88.0,86.0,89.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
359,"VICTORIA HERNÁNDEZ FLORES",60.0,66.0,63.0,62.0,61.0,67.0,64.0,63.0,19,2,"Regular"
360,"RICARDO PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,94.0,95.0,89.0,90.0,4,5,"Excelente"
361,"KARINA GUTIÉRREZ HERNÁNDEZ",54.0,59.0,58.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
362,"CRISTÓBAL RAMÍREZ PÉREZ",79.0,81.0,78.0,82.0,81.0,85.0,80.0,81.0,7,4,"Bueno"
363,"IVÁN GONZÁLEZ RAMÍREZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
364,"REBECA MARTÍNEZ HERNÁNDEZ",95.0,94.0,96.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
365,"SALVADOR HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
366,"MARGARITA GUTIÉRREZ PÉREZ",83.0,79.0,85.0,80.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
367,"ELÍAS GONZÁLEZ MARTÍNEZ",68.0,70.0,71.0,72.0,70.0,76.0,74.0,71.0,12,3,"Regular"
368,"EDGAR RAMÍREZ HERNÁNDEZ",85.0,88.0,87.0,90.0,89.0,91.0,86.0,88.0,6,4,"Bueno"
369,"FERNANDA HERNÁNDEZ FLORES",60.0,65.0,64.0,63.0,62.0,67.0,64.0,63.0,18,2,"Regular"
370,"OMAR PÉREZ MARTÍNEZ",91.0,89.0,88.0,92.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
371,"LUZ GUTIÉRREZ GARCÍA",54.0,59.0,58.0,57.0,56.0,63.0,61.0,60.0,23,3,"Malo"
372,"HUGO RAMÍREZ MARTÍNEZ",77.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
373,"MONTSERRAT GONZÁLEZ PÉREZ",66.0,72.0,70.0,69.0,68.0,75.0,72.0,71.0,12,3,"Regular"
374,"JORGE MARTÍNEZ HERNÁNDEZ",96.0,93.0,95.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
375,"TANIA HERNÁNDEZ FLORES",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,27,1,"Malo"
376,"DAVID GUTIÉRREZ PÉREZ",82.0,79.0,84.0,81.0,83.0,86.0,84.0,81.0,7,4,"Bueno"
377,"ALICIA GONZÁLEZ MARTÍNEZ",70.0,68.0,71.0,72.0,71.0,76.0,74.0,70.0,11,3,"Regular"
378,"ISIDRO RAMÍREZ HERNÁNDEZ",85.0,87.0,86.0,89.0,87.0,91.0,86.0,87.0,6,4,"Bueno"
379,"CLAUDIA HERNÁNDEZ FLORES",62.0,66.0,65.0,64.0,63.0,68.0,64.0,63.0,18,2,"Regular"
380,"RAFAEL PÉREZ MARTÍNEZ",90.0,89.0,88.0,91.0,93.0,95.0,89.0,90.0,4,5,"Excelente"
381,"LOURDES GUTIÉRREZ HERNÁNDEZ",54.0,58.0,59.0,57.0,60.0,64.0,62.0,60.0,22,3,"Malo"
382,"FRANCISCO RAMÍREZ PÉREZ",78.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
383,"XIMENA GONZÁLEZ MARTÍNEZ",67.0,71.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
384,"ALEJANDRO GÓMEZ SÁNCHEZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
385,"MARTA FERNÁNDEZ PÉREZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
386,"JOAQUÍN MARTÍNEZ LÓPEZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
387,"ANA GONZÁLEZ HERNÁNDEZ",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
388,"CARLOS RAMÍREZ TORRES",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
389,"LAURA PÉREZ RAMÍREZ",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
390,"RAFAEL HERNÁNDEZ CRUZ",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
391,"MÓNICA FLORES DÍAZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
392,"JUAN MORALES GARCÍA",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
393,"PATRICIA TORRES HERRERA",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
394,"ALFREDO GÓMEZ PÉREZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
395,"ROSARIO RAMÍREZ LÓPEZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
396,"MIGUEL MARTÍNEZ HERNÁNDEZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
397,"SOFÍA GONZÁLEZ PÉREZ",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
398,"FRANCISCO RAMÍREZ SÁNCHEZ",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
399,"ALICIA PÉREZ GONZÁLEZ",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
400,"JORGE HERNÁNDEZ MARTÍNEZ",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
401,"LUZ FLORES RAMÍREZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
402,"DAVID MORALES HERRERA",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
403,"VERÓNICA TORRES LÓPEZ",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
404,"CARLOS GÓMEZ HERNÁNDEZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
405,"ANA MARTÍNEZ PÉREZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
406,"JOSÉ RAMÍREZ LÓPEZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
407,"MARÍA GONZÁLEZ RAMÍREZ",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
408,"ALFONSO RAMÍREZ PÉREZ",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
409,"ELENA PÉREZ HERRERA",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
410,"RAÚL HERNÁNDEZ GONZÁLEZ",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
